"numcode","VMAR_Group","ccode","country","VMAR_Region","year","GPOP","CPOP","GPRO","LANG","CUSTOM","BELIEF","RELIGS1","RACE","GROUPCON","GC119","GC2","GC6B","GC7","GC10","GC11","AUTLOST","YEARWT","MAGN","PRSTAT","AUTONEND","TRANSYR","SEPX","SEPKIN","EMIG","DISPLACE","POLDIS","ECDIS","CULPO1","CULPO2","GOJPA","AUTON2","AUTGAIN","AUTPRO","LEGISREP","EXECREP","GUARREP","POLGR","ECGR","CULGR","KINSUP","KINMATSUP","KINPOLSUP","KINMILSUP","STASUP","STAMATSUP","STAPOLSUP","STAMILSUP","NSASUP","NSAMATSUP","NSAPOLSUP","NSAMILSUP","INTRACON","FACTCC1","FACTSEV1","FACTCC2","FACTSEV2","FACTCC3","FACTSEV3","INTERCON","CCGROUP1","CCGROUPSEV1","CCGROUP2","CCGROUPSEV2","CCGROUP3","CCGROUPSEV3","PROT","REB","REPGENCIV","REPNVIOL","REPVIOL"
9503,"Chinese",95,"Panama","Latin America and the Caribbean",2004,130375,3104177,0.042,1,1,2,10,2,1,5,0,0,0,1,3,0,5,1,0,"-99","1903",0,0,-99,0,3,3,0,0,1,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"","0","","0",0,"",0,"",0,"",0,0,0,0,0,0
9503,"Chinese",95,"Panama","Latin America and the Caribbean",2005,132511,3155032,0.042,1,1,2,10,2,1,5,0,0,0,1,3,0,5,1,0,"-99","1903",0,0,-99,0,3,3,0,0,1,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"",0,"","0","","0",0,"",0,"",0,"",0,0,0,0,0,0
9503,"Chinese",95,"Panama","Latin America and the Caribbean",2006,134672,3206481,0.042,1,1,2,10,2,1,5,0,0,0,1,3,0,5,1,0,"-99","1903",0,0,-99,0,3,3,0,0,1,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"","0","","0",0,"",0,"",0,"",0,0,0,0,0,0
10001,"Blacks",100,"Colombia","Latin America and the Caribbean",2004,9679418,42453588,0.228,0,1,0,1,2,3,4,1,3,3,3,2,0,5,1,0,"-99","1881",0,1,0,1,3,3,0,0,1,0,-99,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"-99",0,"-99","0","-99","0",1,"Paramilitaries Colombian United Self-Defence Forces of Colombia (AUC)",3,"Revolutionary Armed Forces of Colombia (FARC)",3,"",0,4,0,0,0,0
10001,"Blacks",100,"Colombia","Latin America and the Caribbean",2005,9826805,43100021,0.228,0,1,0,1,2,3,4,1,3,3,3,2,0,5,1,0,"-99","1881",0,1,0,1,3,3,0,0,1,0,-99,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"-99",0,"-99","0","-99","0",1,"Revolutionary Armed Forces of Colombia (FARC)",3,"Paramilitaries Colombian United Self-Defence Forces of Colombia (AUC)",1,"",0,1,0,0,0,0
10001,"Blacks",100,"Colombia","Latin America and the Caribbean",2006,9973133,43741811,0.228,0,1,0,1,2,3,4,1,3,3,3,2,0,5,1,0,"-99","1881",0,1,0,1,3,3,0,0,1,0,-99,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"-99",0,"-99","0","-99","0",1,"Paramilitaries Colombian United Self-Defence Forces of Colombia (AUC)",3,"Revolutionary Armed Forces of Colombia (FARC)",3,"",0,0,0,0,0,0
10004,"Indigenous Peoples",100,"Colombia","Latin America and the Caribbean",2004,904261,42453588,0.0213,1,1,0,1,2,1,1,0,0,0,1,2,0.6,5,3,1,"1550","1810",0,0,1,0,3,3,0,0,2,1,1991,-99,1,0,1,3,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,"",0,"","0","","0",1,"paramilitaries",5,"FARC",5,"ELN",3,4,0,2,0,0
10004,"Indigenous Peoples",100,"Colombia","Latin America and the Caribbean",2005,918030,43100021,0.0213,1,1,0,1,2,1,1,0,0,0,1,2,0.6,5,3,1,"1550","1810",0,0,0,2,3,3,0,0,2,1,1991,-99,1,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"","0","","0",1,"paramilitaries",3,"",0,"",0,4,1,5,5,3
10004,"Indigenous Peoples",100,"Colombia","Latin America and the Caribbean",2006,931701,43741811,0.0213,1,1,0,1,2,1,1,0,0,0,1,2,0.6,5,3,1,"1550","1810",0,0,0,2,3,3,0,0,2,1,1991,-99,1,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"","0","","0",1,"FARC",3,"FARC",3,"",0,3,0,3,0,0
10101,"Blacks",101,"Venezuela","Latin America and the Caribbean",2004,5043185,24904615,0.2025,0,1,0,1,2,2,2,1,-99,-99,3,1,0,5,1,0,"","",0,1,0,0,3,3,0,0,2,0,-99,0,-99,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"","0","","0",0,"",0,"",0,"",0,0,0,0,0,0
